duration,avg_speed,height_diff,grnd_dist,tot_dist,angle_var,prev_cluster,annotation
6766,4.1906,48,1.4257,10.577,0.61804,unknown,unknown
2221,1.6239,30,1.2532,2.1178,0.80884,unknown,flying
918,3.1191,7,0.93434,0.9936,0.034936,flying,flying
1228,2.7059,34,1.1857,1.2717,0.17918,flying,digesting
4631,10.085,58,2.3211,17.883,0.29827,unknown,diving
744,9.6596,29,2.6486,2.8651,0.012431,diving,flying
1401,14.835,37,7.2461,7.6318,0.14446,flying,flying
2478,11.721,18,1.7421,3.9874,0.76391,unknown,flying
2122,12.464,28,6.453,6.7883,0.4634,flying,flying
1316,8.6674,20,1.7423,2.9364,0.20838,unknown,flying
1274,6.132,21,2.4722,2.5649,0.78872,flying,flying
1239,2.8268,25,0.49466,0.52952,0.46379,flying,digesting
5485,0.14481,18,0.41827,0.44822,0.7215,unknown,sleeping
2512,4.1232,42,3.7695,4.066,0.1962,sleeping,flying
1220,0.39381,10,0.086119,0.088576,0.44149,flying,digesting
936,2.7767,17,0.25476,0.26688,1.277,digesting,flying
1204,2.5846,3,0.63237,0.69535,0.27009,flying,digesting
1790,2.4257,18,1.5757,1.5824,0.61365,unknown,digesting
2397,0.42828,12,0.29879,0.34323,0.39454,digesting,digesting
1529,2.6123,21,1.2669,1.5345,0.77261,digesting,digesting
1418,6.7106,3,0.37404,0.64589,0.64559,digesting,diving
679,3.1952,5,0.57635,0.57637,0.9129,diving,digesting
2341,8.0984,23,1.4069,2.6401,0.11583,digesting,flying
8490,7.1649,132,3.0704,15.449,0.84181,flying,diving
2302,0.61744,32,0.50568,0.61853,0.46577,diving,digesting
6759,6.2597,66,1.3352,11.08,0.64243,digesting,diving
1424,0.6263,27,0.3083,0.31475,0.40513,diving,digesting
1826,4.1036,34,2.0267,2.331,0.49535,digesting,flying
1907,1.1886,15,0.90106,0.90315,0.088594,flying,flying
941,3.3628,13,1.1026,1.4086,0.47765,flying,flying
10934,0.7454,25,4.2055,5.9375,0.45973,flying,sleeping
3648,6.023,82,4.566,6.3585,0.6424,sleeping,flying
1822,9.2446,22,7.5926,7.6315,0.91398,flying,flying
5142,3.8213,59,4.934,7.1139,0.89398,unknown,unknown
2384,1.1573,4,0.94484,0.94554,0.036504,unknown,sleeping
3311,4.6842,9,2.3838,4.2646,1.5103,sleeping,diving
2758,0.96276,7,1.1811,1.1819,0.13165,diving,digesting
1173,18.111,48,5.4914,5.5425,0.11443,digesting,flying
2474,6.6925,30,4.3445,6.5093,0.7284,unknown,flying
1537,3.1392,18,1.2451,1.5559,0.13917,flying,diving
1262,13.557,13,4.4698,4.5459,0.02028,diving,flying
875,11.369,44,1.8499,2.132,0.63424,unknown,flying
3054,0.97919,38,0.65551,0.82525,0.54076,flying,unknown
617,12.682,36,2.7056,2.7371,0.21214,unknown,flying
1850,0.5076,8,0.32144,0.32629,0.27771,flying,sleeping
1005,3.1222,5,0.65002,0.65057,0.39703,sleeping,flying
6698,0.55955,31,1.6313,1.6844,0.67311,flying,sleeping
5338,9.9964,45,3.5621,10.897,0.61976,sleeping,diving
1319,3.2991,30,0.078053,0.56292,0.42864,diving,digesting
1279,10.17,26,3.0145,3.4612,0.73792,digesting,flying
10113,6.1851,73,5.3438,13.346,0.72837,flying,unknown
4157,0.32274,26,0.021448,0.1744,1.1157,unknown,unknown
2188,10.39,31,9.7434,9.8176,0.60209,unknown,flying
4821,3.7914,37,5.3435,6.2151,0.91376,unknown,flying
3182,8.8034,27,5.0525,6.2763,0.59152,flying,flying
3707,4.943,36,3.2141,3.9544,0.78302,flying,flying
2687,9.2773,28,3.0291,3.6946,0.34236,flying,flying
1222,13.972,22,1.8762,2.6423,1.5903,flying,flying
9548,4.7487,119,7.0062,15.699,0.51482,flying,diving
2869,0.64798,19,0.50101,0.51741,0.3544,diving,digesting
1615,15.039,98,5.9393,6.7595,0.23069,digesting,flying
1426,20.343,124,10.383,10.618,0.006313,flying,flying
11232,16.386,174,44.259,55.028,0.33717,flying,flying
900,11.323,43,2.892,3.526,0.42975,unknown,flying
2344,13.036,83,9.4556,9.6479,0.012367,flying,flying
1241,13.373,91,5.4142,5.4462,0.18723,flying,flying
2410,12.214,32,13.011,13.061,0.0068088,unknown,flying
1220,12.838,39,6.1595,6.2394,0.10288,flying,flying
3944,8.5994,55,10.117,13.055,0.8503,unknown,diving
10024,1.1229,32,1.8297,2.9127,0.35615,diving,sleeping
2744,4.289,47,1.6499,2.8188,1.2525,sleeping,diving
5994,1.0619,45,2.235,2.2573,0.089424,diving,digesting
2705,6.7092,35,6.5904,7.0004,1.3122,digesting,flying
1488,0.63891,8,0.73015,0.84688,0.18801,flying,digesting
2364,5.9494,21,4.5786,4.9403,0.68637,digesting,flying
5471,1.369,62,2.1238,3.9553,0.3009,flying,sleeping
1807,6.421,30,3.3126,4.261,1.3648,unknown,flying
1507,1.059,11,1.6665,2.05,0.11307,flying,digesting
1183,4.5324,14,0.94734,1.1226,0.48469,digesting,diving
1519,11.841,14,1.7521,2.4676,0.66836,diving,diving
2714,8.0922,24,4.6804,7.3242,0.28514,unknown,flying
1231,1.0883,6,0.45889,0.45987,0.044998,flying,digesting
1846,9.8504,95,4.916,7.3677,0.88861,digesting,diving
1553,7.3909,15,1.6041,3.7485,0.93477,unknown,diving
3962,0.2648,9,0.005627,0.036413,0.49078,diving,unknown
3336,9.6216,42,5.4993,11.411,0.9572,unknown,flying
3550,0.78391,8,0.029602,0.30017,0.48539,unknown,digesting
3550,0.34855,13,0.076365,0.13601,0.53688,digesting,sleeping
3550,6.3873,45,1.6143,1.6176,0.83231,sleeping,flying
3550,8.1591,59,0.30733,9.0704,0.27105,unknown,unknown
3550,0.060923,15,0.010308,0.24201,1.2003,unknown,sleeping
3550,16.837,52,2.4637,2.8497,0.050019,sleeping,flying
3550,3.5955,22,2.101,2.1119,0.018551,unknown,flying
3550,3.52,11,2.2419,4.4429,0.008101,flying,flying
3550,11.298,100,11.334,24.11,0.36277,flying,diving
3550,1.0308,20,0.21772,0.25448,0.10315,diving,digesting
1380,21.152,47,11.741,11.832,0.001645,digesting,flying
381,23.527,24,3.4268,3.4764,0.006845,flying,flying
4213,7.1732,44,8.004,12.221,0.16486,unknown,unknown
1437,3.384,10,1.4812,1.8022,0.039735,unknown,digesting
81,8.8213,22,0.24976,0.2743,0.13595,digesting,unknown
3142,11.265,73,6.9675,13.207,0.43619,unknown,diving
3472,8.2018,39,2.6007,4.7081,0.62912,diving,diving
10474,11.557,95,20.663,27.121,0.56986,diving,unknown
16581,9.5469,490,0.34071,56.7,0.46362,unknown,unknown
967,18.357,694,6.2539,6.6764,1.0636,unknown,flying
1601,16.451,89,4.977,5.8223,0.50424,flying,diving
3573,13.236,91,7.5065,11.966,0.98636,diving,diving
1511,14.336,43,3.2351,3.3341,0.84319,diving,flying
1609,7.3076,51,2.1762,2.6623,1.2828,flying,diving
1352,11.058,18,1.2232,1.8607,0.27596,diving,diving
3870,10.673,52,1.2536,5.4694,1.0663,diving,diving
3828,11.1,55,2.0878,3.8099,0.91649,diving,diving
1809,11.627,28,7.9229,8.0815,0.009197,diving,flying
1289,11.091,8,6.0036,6.0196,0.036522,flying,flying
1255,11.883,7,5.4814,5.4933,0.07418,flying,flying
636,17.356,28,3.6354,3.6476,0.010298,unknown,unknown
2294,18.94,32,11.843,13.438,0.15856,unknown,diving
1216,5.5535,44,1.4191,1.5205,0.49138,diving,digesting
1215,12.765,45,4.7375,4.9057,0.51135,digesting,diving
7348,10.78,104,29.541,33.46,0.3849,diving,diving
2417,0.83487,10,0.38333,0.64175,0.45929,diving,digesting
1320,11.028,45,6.4094,6.9095,0.10916,digesting,flying
608,13.012,22,2.3593,2.3696,0.007672,flying,flying
3168,10.835,50,3.2694,4.0973,0.59258,flying,diving
13402,10.092,110,15.428,36.262,0.58816,diving,diving
2448,0.9676,20,0.88468,1.0568,0.33027,diving,digesting
1474,11.358,75,6.9211,7.1217,0.019662,digesting,flying
2656,11.867,76,13.319,13.358,0.004327,flying,flying
636,9.2365,39,3.0168,3.0751,1.7048,flying,unknown
1460,0.47946,17,0.2191,0.22308,0.30579,unknown,digesting
1068,4.9429,64,0.93209,1.8195,0.24336,digesting,unknown
1549,0.98851,12,0.49173,0.49461,0.04109,unknown,digesting
1145,9.3407,32,4.741,4.8901,0.054839,digesting,unknown
2135,12.625,45,10.668,11.066,0.013576,unknown,flying
4781,13.933,58,20.319,21.31,0.75624,flying,flying
1219,0.36987,10,0.037262,0.17245,0.37865,flying,digesting
191,9.329,42,0.60321,0.62475,0.40383,digesting,unknown
3844,9.1406,46,4.326,10.466,0.65031,unknown,diving
1852,0.88536,8,0.93971,0.94785,0.24628,diving,digesting
3907,5.4849,44,3.4258,6.0467,0.62271,digesting,diving
1493,0.45105,18,0.96368,1.1269,0.51363,diving,digesting
2013,9.1768,54,2.8146,4.901,0.69954,digesting,diving
1315,15.099,28,1.5809,1.7087,0.21952,diving,flying
3616,8.1128,47,7.3021,7.6871,0.43318,flying,flying
1490,11.45,16,6.7662,6.8095,0.014994,flying,flying
1185,11.099,49,4.4813,4.4914,0.10851,flying,flying
1287,10.783,39,3.0183,4.2546,0.27655,unknown,flying
1541,3.5374,32,1.147,1.1826,0.13146,flying,digesting
1204,11.12,30,3.2469,3.9619,1.0466,digesting,flying
3397,7.5145,95,6.7274,9.5114,0.50592,flying,unknown
6984,12.054,221,23.079,28.673,0.18922,unknown,diving
2923,11.637,70,2.4982,3.4147,1.0596,unknown,unknown
4066,3.5753,24,3.224,6.0495,0.42496,unknown,diving
2907,9.357,100,5.6543,10.338,0.62189,diving,flying
1841,11.072,161,3.7707,6.2291,1.2145,unknown,flying
3658,1.3637,30,0.98201,2.5885,0.40967,flying,digesting
3275,5.3267,37,2.3305,4.3623,0.86285,digesting,diving
1493,1.6045,6,0.46645,1.1562,0.2948,diving,digesting
10237,9.6452,143,4.3098,18.389,0.74382,digesting,diving
1664,13.138,51,0.2665,2.1801,0.67607,diving,diving
2192,14.72,434,8.9026,10.192,0.72947,diving,flying
1529,10.94,51,6.5295,6.6418,0.90323,unknown,flying
1224,1.4437,13,0.7594,0.75954,0.010556,flying,digesting
4932,8.1773,46,8.7044,12.126,0.81236,digesting,diving
4150,0.34594,21,0.047387,0.14614,0.61301,diving,digesting
7937,7.7005,68,7.6223,21.81,0.562,digesting,diving
2703,0.83379,17,1.1127,1.1252,0.49421,diving,digesting
9488,18.428,155,22.374,38.552,0.44525,digesting,unknown
3342,7.729,44,3.8886,8.1152,0.41165,unknown,unknown
1518,11.262,20,2.8737,5.6566,0.74987,unknown,diving
1850,2.6042,35,0.7986,0.81489,0.6966,diving,digesting
5691,12.706,53,4.3089,16.944,0.56407,unknown,diving
1803,13.086,37,5.7389,6.9445,0.42461,diving,flying
1918,10.477,110,1.8853,2.6445,0.66809,flying,flying
12673,10.412,145,7.5567,34.065,0.80967,unknown,diving
3625,10.355,40,10.96,11.511,0.05495,unknown,flying
1527,11.925,23,6.8477,6.9367,0.15408,flying,flying
640,3.1606,25,0.16968,0.18473,1.5789,unknown,unknown
4241,3.1725,39,0.44571,3.1909,0.50295,unknown,digesting
4235,9.3397,33,13.782,15.737,1.1794,digesting,flying
1225,6.8131,25,1.5969,1.9476,0.87299,flying,diving
4677,0.87424,24,1.6869,2.0321,0.052656,diving,digesting
2881,4.5297,19,2.0545,6.1615,0.6407,digesting,diving
1800,0.56709,6,0.34067,0.35123,0.20084,diving,digesting
5600,5.7376,148,8.525,16.309,0.53496,digesting,unknown
1217,17.971,64,9.3215,9.3624,0.006374,unknown,flying
3298,10.217,567,3.1123,11.573,0.44345,unknown,unknown
4425,0.47665,28,0.007832,0.20139,0.69884,unknown,digesting
2869,11.474,102,8.8301,10.322,0.32558,digesting,flying
5819,9.2581,40,3.3822,8.8832,0.93865,unknown,diving
7419,10.162,168,11.709,22.129,0.84947,unknown,diving
1610,13.395,34,1.9532,2.6718,0.70924,diving,diving
1054,8.5173,53,1.2135,2.044,0.53817,diving,diving
1634,9.3476,41,2.345,3.5905,0.66636,diving,diving
1271,12.853,88,4.99,5.5561,0.77885,diving,diving
3573,8.6202,70,8.0627,9.5166,0.76508,diving,flying
5428,3.8137,70,5.8599,8.2365,0.11017,flying,flying
970,6.2402,30,0.83394,0.99811,0.60837,flying,flying
1365,13.264,89,6.3395,6.3792,0.016646,flying,flying
5962,11.688,92,9.7124,14.491,0.77147,flying,flying
1446,15.603,70,6.7649,6.8361,0.003814,flying,flying
6787,9.3963,225,8.837,18.322,0.59647,unknown,unknown
2106,1.4669,14,1.3487,1.3597,1.4078,unknown,digesting
2790,7.9641,35,7.1416,7.4581,0.76498,digesting,flying
7514,11.757,199,14.593,21.635,0.76917,unknown,flying
1230,16.458,100,10.531,10.537,0.30006,flying,flying
1824,13.252,67,5.6005,6.9154,0.26026,unknown,flying
2044,16.563,137,11.363,11.497,0.34455,flying,flying
1208,19.055,19,9.2097,9.2817,0.053711,flying,flying
2145,11.917,28,8.72,9.2397,0.30694,unknown,flying
2128,11.18,23,9.8967,10.113,0.002436,flying,flying
1217,11.804,18,5.2099,5.4813,0.15548,flying,flying
1901,9.9225,35,6.8591,6.9847,0.005416,flying,flying
1241,8.5033,23,2.2903,3.9555,0.5381,flying,flying
7273,1.0837,28,2.5165,3.0842,0.41551,flying,digesting
2313,9.9399,24,4.3646,4.7388,0.82271,digesting,diving
6942,6.4236,70,0.8234,12.784,0.65366,diving,diving
1767,0.81931,13,0.58943,0.59066,0.051612,diving,digesting
7305,9.8891,111,9.6934,16.782,0.39416,digesting,diving
1423,1.8388,12,0.57304,1.5584,0.020842,diving,digesting
2144,16.69,115,12.341,12.529,0.052242,digesting,flying
2227,22.257,51,17.364,17.379,0.010734,flying,flying
4551,10.254,144,13.087,16.684,0.40834,unknown,flying
2144,1.1871,10,0.97525,0.97824,0.054456,flying,digesting
19882,12.743,178,13.181,89.424,0.18856,digesting,flying
2122,10.239,39,7.8603,8.3212,0.027036,unknown,flying
3340,5.8521,61,5.9979,6.7188,0.88641,flying,flying
1535,7.0628,48,4.5024,4.557,0.68443,flying,flying
1847,11.33,55,1.9512,3.3943,0.76728,flying,flying
1910,19.708,66,13.885,14.207,0.009144,flying,flying
4003,11.745,67,16.467,17.609,0.053256,unknown,flying
1451,0.64536,16,0.19255,0.21407,0.40848,flying,digesting
1753,6.127,54,1.7196,2.4026,0.77589,digesting,digesting
1300,0.33256,32,0.12749,0.13424,0.40985,digesting,digesting
3155,7.6446,76,5.1672,5.8685,0.41116,digesting,flying
2238,9.5228,58,2.1387,3.5418,0.91806,flying,diving
900,7.0523,58,0.93011,1.1074,0.156,diving,diving
1605,11.833,27,1.3809,2.6474,0.38305,diving,diving
1695,11.886,23,1.4322,2.2449,1.2916,diving,diving
2203,10.754,32,0.48125,2.095,0.50449,diving,diving
1221,14.89,26,0.44067,2.9863,1.3065,diving,diving
1819,14.891,13,9.1455,9.687,0.11291,diving,flying
4315,8.9094,60,4.3576,12.919,0.75357,unknown,diving
2781,11.41,40,8.5901,10.874,0.40485,unknown,flying
1507,4.3936,29,2.2642,2.269,0.045786,flying,flying
1668,1.3613,7,1.0768,1.2634,0.29741,flying,digesting
2258,8.7918,135,10.625,11.121,0.41115,digesting,flying
1359,0.21882,8,0.004768,0.012351,0.65573,flying,digesting
2547,0.47119,24,0.99997,1.0621,0.75374,digesting,digesting
